Batsman,Home Run Hitting Ability,Milestone Reaching Ability,Batting Average,Strike Rate,Matches Played
JA Morkel,2.42424242424,0.0606060606061,19.9696969697,99.5468277946,33
HH Gibbs,4.61538461538,0.307692307692,35.6923076923,83.4157303371,52
T Thushara,1.7619047619,0.047619047619,16.4761904762,93.7669376694,21
V Sehwag,5.88636363636,0.238636363636,38.8295454545,108.648648649,88
KA Edwards,1.875,0.0625,20.6875,64.9019607843,16
SC Williams,2.56923076923,0.276923076923,28.5384615385,80.7926829268,65
DE Bernard,1.0,0,13.4,63.5071090047,10
WK McCallan,0.692307692308,0,7.69230769231,56.8181818182,13
LE Plunkett,1.38095238095,0,13.1904761905,113.991769547,21
RK Whelan,0.5,0,2.5,41.6666666667,2
MJ Guptill,4.80869565217,0.313043478261,38.1217391304,82.7482068705,115
GB Hogg,0.769230769231,0,13.6923076923,69.53125,13
CT Tremlett,0.4,0,4.2,57.5342465753,10
JW Hastings,1.76923076923,0,13.8461538462,95.2380952381,13
PA Hitchcock,1.0,0,10.0,90.9090909091,1
CK Kapugedera,1.74137931034,0.120689655172,21.1379310345,68.6066032457,58
N Deonarine,2.09090909091,0.136363636364,20.9545454545,65.7631954351,22
CR Brathwaite,1.14285714286,0,10.1428571429,81.6091954023,7
MC Sorensen,2.0,0,15.75,84.0,4
ML Udawatte,2.33333333333,0,17.1666666667,62.0481927711,6
NW Bracken,0.391304347826,0,4.91304347826,62.4309392265,23
Rajin Saleh,3.5,0,21.5,53.0864197531,2
SR Patel,2.22727272727,0.0454545454545,21.9090909091,90.6015037594,22
M Kartik,1.66666666667,0,12.3333333333,75.5102040816,3
Rubel Hossain,0.32,0,2.68,52.34375,25
Ziaur Rahman,1.2,0,8.3,91.2087912088,10
CK Coventry,3.33333333333,0.166666666667,29.3888888889,90.2730375427,18
TA Boult,0.727272727273,0,5.27272727273,77.3333333333,11
D Mongia,2.5,0.166666666667,26.1666666667,60.153256705,6
D Ganga,1.0,0,20.5,39.0476190476,2
MJ Santner,3.0,0,26.7272727273,102.083333333,11
CT Mutombodzi,0.666666666667,0,10.6666666667,72.7272727273,3
CR Ervine,3.06666666667,0.2,30.5333333333,73.9903069467,30
XM Marshall,1.5,0,10.5,58.3333333333,8
IR Bell,3.63432835821,0.246268656716,35.3805970149,75.6623045005,134
RV Uthappa,3.0,0.117647058824,22.1470588235,89.0070921986,34
J Nyumbu,0.153846153846,0,3.46153846154,50.0,13
KW Richardson,1.0,0,7.5,157.894736842,4
Umar Gul,0.771929824561,0,7.14035087719,68.288590604,57
HDRL Thirimanne,2.77777777778,0.246913580247,31.5802469136,71.4724783459,81
D Elgar,1.0,0,19.6,60.4938271605,5
Abdur Rehman,0.52380952381,0,6.04761904762,55.701754386,21
H Masakadza,3.11214953271,0.18691588785,26.9719626168,70.0485436893,107
KO Meth,0.8,0,6.4,61.5384615385,5
B Lee,1.09090909091,0.0227272727273,10.8181818182,81.5068493151,44
JR Hazlewood,0.5,0,2.5,55.5555555556,2
R Mutumbami,1.93333333333,0.0666666666667,15.4666666667,69.8795180723,15
PP Ojha,0.333333333333,0,5.11111111111,40.350877193,9
TWM Latham,2.76470588235,0.147058823529,25.3529411765,75.2181500873,34
JH Kallis,3.58620689655,0.35632183908,37.2643678161,76.4442348503,87
MM Patel,0.363636363636,0,3.22727272727,66.9811320755,22
DE Bollinger,0.714285714286,0,7.14285714286,92.5925925926,7
